10,17,5
0,20,5
21,28,1
1,17,5
0,7,5
2,22,5
1,6,5
17,25,5
2,5,5
1,11,5
4,19,5
19,29,5
6,10,5
5,18,5
6,25,5
16,25,5
13,20,5
12,28,5
18,20,5
19,24,5
11,21,5
7,22,5
23,28,5
11,15,5
9,19,5
15,16,5
6,16,5
11,16,5
1,21,5
15,21,5
2,18,5
3,11,5
1,15,5
4,12,5
3,17,5
1,16,5
24,28,5
12,24,5
3,6,5
1,10,5
16,17,5
4,28,5
19,28,5
15,25,5
6,11,5
0,18,5
7,18,5
0,5,5
19,23,5
12,29,5
23,24,5
2,7,5
18,22,5
5,7,5
10,25,5
9,23,5
5,20,5
16,20,1
12,23,5
11,25,5
0,2,5
13,22,5
3,15,5
1,3,5
28,29,5
5,13,5
3,21,5
10,15,5
9,29,5
14,26,5
6,17,5
7,17,1
7,20,5
1,25,5
3,10,5
2,13,5
4,24,5
3,16,5
9,24,5
6,15,5
0,22,5
21,26,1
20,22,5
2,20,5
8,26,5
4,29,5
24,29,5
10,16,5
7,13,5
12,19,5
11,29,1
17,21,5
13,18,5
9,12,5
3,25,5
10,11,5
6,21,5
10,21,5
16,21,5
8,14,5
4,9,5
9,28,5
14,27,5
4,23,5
5,22,5
23,29,5
29,2,1
15,17,5
21,25,5
11,17,5
26,27,5
0,13,5
8,27,5
